ms,lp,al,be
1.321734000000000009e+01,-2.934663899999999881e+00,-3.355145400000000278e-01,6.139961200000000341e-01
1.323386900000000033e+01,-2.933924800000000221e+00,-3.423656500000000213e-01,6.068449500000000496e-01
1.320258899999999969e+01,-2.921188499999999966e+00,-2.815264499999999837e-01,6.365591699999999520e-01
1.310968199999999939e+01,-2.928223899999999880e+00,-1.428790000000000060e-01,6.091968199999999722e-01
1.312023800000000051e+01,-2.941691200000000173e+00,-1.334810300000000005e-01,6.135932800000000187e-01
1.317996100000000048e+01,-2.952207599999999932e+00,-1.716381899999999960e-01,6.276137099999999913e-01
1.319951299999999961e+01,-2.928449000000000080e+00,-2.899544600000000250e-01,6.230800399999999462e-01
1.344446100000000044e+01,-3.000853699999999957e+00,-4.525069700000000084e-01,7.006687499999999513e-01
1.329429200000000044e+01,-2.965937600000000174e+00,-2.705412600000000056e-01,6.667881900000000028e-01
1.330165500000000023e+01,-2.974888599999999883e+00,-2.532505899999999976e-01,6.752086999999999950e-01
1.318921500000000080e+01,-2.935727099999999812e+00,-3.291924299999999803e-01,5.965434600000000254e-01
1.322251600000000060e+01,-2.907161299999999837e+00,-3.308133699999999955e-01,6.271377700000000388e-01
1.322212500000000013e+01,-2.935541800000000201e+00,-2.749045199999999856e-01,6.374678000000000289e-01
1.326038400000000017e+01,-2.949156400000000122e+00,-2.557133600000000007e-01,6.474739299999999753e-01
1.325003899999999923e+01,-2.951787899999999798e+00,-2.638856900000000061e-01,6.463934500000000360e-01
1.338681300000000007e+01,-2.972668099999999924e+00,-3.924700799999999989e-01,6.875076300000000362e-01
1.339455500000000043e+01,-2.991572399999999909e+00,-4.201953299999999780e-01,6.720474100000000117e-01
1.343418899999999994e+01,-3.003554299999999788e+00,-4.459575900000000148e-01,6.750806200000000201e-01
1.343156699999999937e+01,-2.977428100000000022e+00,-4.665036000000000183e-01,6.809916400000000092e-01
1.339854399999999934e+01,-2.977748699999999804e+00,-4.671489600000000020e-01,6.808025899999999853e-01
1.339276500000000070e+01,-2.990157099999999790e+00,-3.683355700000000010e-01,6.986678200000000505e-01
1.344020699999999913e+01,-3.015794800000000109e+00,-4.017272599999999749e-01,7.236036799999999714e-01
1.337963899999999917e+01,-2.990011899999999834e+00,-3.770230399999999760e-01,6.914956799999999459e-01
1.338891800000000032e+01,-2.983235500000000151e+00,-3.813065099999999874e-01,6.855282700000000506e-01
1.338192399999999971e+01,-2.981198099999999851e+00,-3.841368399999999794e-01,6.894988800000000362e-01
1.339802899999999930e+01,-2.994670100000000001e+00,-4.135966099999999757e-01,6.830092700000000017e-01
1.336326399999999914e+01,-2.959532999999999969e+00,-3.646586600000000233e-01,6.939320900000000014e-01
1.339046800000000026e+01,-3.004479700000000086e+00,-3.397724599999999984e-01,6.954250100000000101e-01
1.338921799999999962e+01,-2.994753900000000080e+00,-3.546188900000000199e-01,6.957549899999999621e-01
1.335429500000000047e+01,-2.969745599999999985e+00,-3.483980999999999884e-01,6.865136200000000466e-01
1.341688500000000062e+01,-2.996769399999999806e+00,-3.723774499999999987e-01,7.165576900000000249e-01
1.341027000000000058e+01,-2.990636900000000153e+00,-3.943255299999999797e-01,7.093944800000000495e-01
1.341803600000000074e+01,-2.971908800000000017e+00,-4.103168300000000213e-01,6.905538500000000246e-01
1.342068100000000008e+01,-2.972233399999999914e+00,-4.106768800000000219e-01,6.903560300000000094e-01
1.328613400000000055e+01,-2.943807200000000179e+00,-3.065637700000000132e-01,6.641638199999999603e-01
1.327300100000000072e+01,-2.970783500000000021e+00,-2.711434899999999870e-01,6.597400199999999826e-01
1.330584499999999970e+01,-2.971271799999999796e+00,-2.750787599999999777e-01,6.586643100000000306e-01
1.306596299999999999e+01,-2.923988299999999985e+00,-2.215303399999999923e-01,5.683693800000000351e-01
1.327459600000000073e+01,-2.933202999999999783e+00,-2.786467400000000039e-01,6.749489199999999522e-01
1.321649200000000057e+01,-2.983696399999999915e+00,-1.796993600000000024e-01,6.429529099999999886e-01
1.302786900000000081e+01,-2.903351699999999980e+00,-2.169023999999999952e-01,5.689885999999999555e-01
1.300306100000000065e+01,-2.938315799999999811e+00,-1.020642900000000020e-01,5.804003899999999883e-01
1.300333900000000042e+01,-2.943566899999999986e+00,-1.050984400000000013e-01,5.773052400000000528e-01
