N,ntracks,q16,q50,q84,sigma_log10M
190,8,-0.04457765459447643,-0.015762054311226237,-0.004524317869033823,0.020026668362721302
191,8,-0.04313075797519538,-0.01822046754290696,-0.0074865456572235445,0.01782210615898592
192,8,-0.04119444314451421,-0.019421228251024658,-0.005498113723742719,0.017848164710385746
193,8,-0.037015056969364434,-0.021819666096618562,0.002316682628489771,0.0196658697989271
194,8,-0.03628577913791353,-0.020506788200571613,-0.0007191662057622502,0.017783306466075642
195,8,-0.035669342833273984,-0.020685363296436776,0.0015848926251601355,0.01862711772921706
196,8,-0.036740729489376206,-0.020994598952014165,0.002600724119652538,0.01967072680451437
197,8,-0.033654058034293256,-0.019850847386853054,0.0063718749177773025,0.02001296647603528
198,8,-0.03391829738938881,-0.01725503219191804,0.006328533208650169,0.020123415299019492
199,8,-0.028220040864022664,-0.020429188334169623,0.0050165505249970006,0.016618295694509833
200,8,-0.0299833093483673,-0.020937021042288784,0.0035584996612202957,0.016770904504793797
201,8,-0.0324589229691,-0.020750804183220062,0.003067509634045962,0.017763216301572984
202,8,-0.03518604926225294,-0.022265520699124686,0.003703376442192265,0.0194447128522226
203,8,-0.03490607317529758,-0.019137912737464013,0.003773879504221824,0.0193399763397597
204,8,-0.03023414612202437,-0.015189921828236308,0.005007804888388776,0.01762097550520657
205,8,-0.030232474944597954,-0.01648279483177184,0.002917370397718386,0.01657492267115817
206,8,-0.023393068824209707,-0.016608881384810203,0.004706866415073918,0.014049967619641812
207,8,-0.02530620284983911,-0.012822358156790337,0.0036542006860188535,0.01448020176792898
208,8,-0.019476695820978805,-0.012456588124894807,0.005773237239636231,0.012624966530307518
209,8,-0.0196308567411765,-0.013597449604267453,0.0024002587220753923,0.011015557731625946
210,8,-0.021781197981213297,-0.01512032817954978,0.0039322214216919345,0.012856709701452616
211,8,-0.020868667542858432,-0.01637196685896214,0.00409031975875294,0.012479493650805687
212,8,-0.02220604704586293,-0.01906010335352537,0.003130589537077739,0.012668318291470335
213,8,-0.02104055050886011,-0.008490671916411507,0.0008742911922152529,0.010957420850537681
214,8,-0.021397994059353494,-0.009315567956166504,0.0022127300486981484,0.011805362054025822
215,8,-0.02020896020900885,-0.006397229059736276,0.002581777836960981,0.011395369022984915
216,8,-0.021019115893274078,-0.007467899981071113,0.0021404613695687395,0.011579788631421409
217,8,-0.022100183070883545,-0.005617671545908642,0.001137778782456848,0.011618980926670196
218,8,-0.016221966412512927,-0.0052506348539598235,0.001252625575636017,0.008737295994074473
219,8,-0.011838594829057669,-0.0072857889136042076,0.0038797401946945335,0.0078591675118761
220,8,-0.014189563560614857,-0.0038722723253883373,0.007058696601361233,0.010624130080988045
221,8,-0.014854563640575904,-0.0053640633226681445,0.005381808867805801,0.010118186254190854
222,7,-0.01874080688963275,-0.007829621762438066,0.005488356388912195,0.012114581639272473
223,7,-0.014974904035587997,-0.008353898600192977,0.002916298095180281,0.008945601065384138
224,7,-0.012914329545313807,-0.00784306739376106,0.0004079722321395,0.006661150888726653
225,6,-0.014916364883144694,-0.00909118781708429,-0.003115421993091869,0.0059004714450264124
226,6,-0.017237060483352096,-0.008989873776588553,-0.0044831019151057895,0.0063769792841231535
