N,s_gap,s_gap0,s_rms,sky,s_tempel,m_gap,m_rms
19,552.6886804566949,552.7339120272634,543.9394706197255,0.327766959009997,559.454497,187941733723909.97,182090065179539.94
10,719.9988173762615,720.0335388183074,652.6176478066367,0.6351804780743202,618.896124,612046421801360.4,503624903242854.0
18,404.31818428794094,404.38001205041945,388.0295799739855,0.3566021853184107,387.596686,109954321308778.1,101347646158686.03
8,355.416797508655,355.4871305002592,348.4750164053756,0.29866193304212596,348.079785,71435659796394.19,68696278586880.88
5,193.04520277204895,193.1746627104639,158.67992296490075,0.17125580468357246,158.54283,12271529953546.924,8319264207685.791
9,836.4643907318402,836.494277901761,745.6031934862475,0.41148122853231295,745.179859,535704965322499.56,426460576013776.7
7,589.3159917106536,589.3584122466661,535.8331850558059,0.3115650308372012,535.296914,202977838459739.6,168088831404894.06
6,227.38374596118373,227.49366568619033,195.20201894893515,0.1777972498616411,194.978556,17621327341809.81,13019925812493.756
5,425.8261228261115,425.8848281884653,369.79872366806103,0.30381006026441576,369.6146,103960269950852.48,78600181310520.75
6,302.76177638782605,302.8443383018939,259.92268589084085,0.3387090713368396,259.762627,58888753395715.45,43519244763317.25
5,573.8446087592237,573.8881729065572,533.8727582085188,0.4283767919728466,533.520184,264049544866676.22,228812844195766.9
5,334.16814204762966,334.2429463123565,274.0718480791129,0.491882758712756,273.851428,103658207545589.22,69972843304486.05
8,485.33942978523635,485.3909373940333,448.8391129785185,0.33308436869472285,448.401238,147598243269387.25,126407412334260.92
5,488.0538256470439,488.10504681750126,418.77905207732016,0.43917787996265384,418.57707,196292491462778.7,144916323837414.25
5,506.7849686821786,506.8342968685098,428.97095245122034,0.38540416465635685,428.667849,185825289842082.66,133535397387097.6
5,661.0555934189138,661.0934106390959,552.1748367089817,0.24175345480911303,551.868411,198215905202154.1,138740050453041.89
13,647.5053904702455,647.5439990363784,611.114132714813,0.431297837883796,610.911797,337791174062386.06,301179626469873.5
5,516.3006472375762,516.3490663668717,448.06030263975117,0.2478033282671323,448.07556,124454361308518.86,93966941430150.55
5,233.37275099575666,233.47985118062638,195.16231359007622,0.10628511309721612,195.099249,11139664501120.617,7814403925533.458
12,494.06611669704904,494.1167146212543,451.55902860655624,0.3721497815470329,461.024994,170670949649493.47,142794348481749.62
9,601.4045026869217,601.4460706099122,559.6211552954657,0.3472307689297896,559.379871,235305077892346.88,203982274314597.8
6,473.8266735180352,473.879432490129,397.4596573040233,0.30089863467129474,397.050305,127253654679188.14,89820882030564.88
6,321.1031387768969,321.18098594464635,269.82814236313277,0.24232823025369413,269.631964,47481518136219.26,33630486548029.164
5,274.63234129206734,274.72335700402783,224.01351506598027,0.20291064666400754,223.76431,29207867425333.71,19501683323540.883
10,558.9467407634385,558.9914659545981,523.0218054528892,0.46122350873040585,522.49273,269679714725407.4,236382096370544.88
11,345.8995865753443,345.9718543364389,317.2659551687008,0.31373707834875036,317.098553,71079521529539.78,59889592246239.26
6,492.94876912300623,492.9994817237508,432.8848971430583,0.4215217771555743,432.551488,192235079950927.66,148584945451178.88
7,460.6931830112556,460.7474458670848,399.75900734059945,0.33319167367903985,399.301407,133153639991552.38,100513159316120.81
8,549.7677841151291,549.8132559795728,534.3438468846954,0.3656500387038334,533.932557,207278093826692.72,195903750107331.88
10,481.98786192557174,482.03972766109644,443.3382233057658,0.36782505998983367,442.854073,160627847847562.88,136101241686060.53
18,646.8992022720304,646.9378470148343,611.2846085633495,0.6991598874520947,610.854948,544346690190091.3,486501130657796.7
6,570.3090966618847,570.3529308553564,476.7644189590737,0.4480642526981572,476.657093,272720060332155.78,191152068369706.97
5,255.90402152866508,256.00169576497626,213.50757781795292,0.3825885686240664,213.323868,47610992251660.72,33247356178149.277
6,300.6133950571605,300.6965468504626,252.1704733977018,0.3648812839319554,251.962546,62508916393909.55,44121818925152.41
5,424.48712238940556,424.5460129060667,363.61702547949767,0.45923367701476,363.572427,155594319770064.84,114484365096463.06
5,566.1059782393642,566.1501378595146,473.11019772343496,0.47701673671253864,472.935144,285967621369655.3,200312709670556.62
5,336.11037755877135,336.1847496581304,298.95738986379536,0.2625534647185877,298.886638,56280685971090.56,44617659162434.42
5,358.3348005673555,358.40456093309757,344.0476960128598,0.24920921868685836,343.736568,60677865744751.9,55975772977049.55
16,525.457789567636,525.5053649748079,502.43921941487054,0.8826575049142308,502.132525,454094608897629.9,415499019597877.3
6,302.8260133500674,302.90855775546385,273.58254047782253,0.29206972919303015,273.356829,50867413455383.766,41591384120588.19
6,455.6413563890707,455.6962208007349,386.5977950885046,0.2265675799652199,386.218469,88890555344413.06,64178374138965.875
5,519.6491648328129,519.6972719876832,435.8836961125439,0.285893364275072,435.454356,145252130824722.38,102518089621345.16
5,467.4596915131114,467.5131690011879,418.8005826061224,0.31165788921911475,469.275026,128276313780529.47,103162862727369.75
20,441.9721669313342,442.0287279600492,421.48003728866547,0.3791974602633248,472.980541,139415912649001.89,126894103889629.3
8,363.2880935393037,363.3569029307437,351.50181062086085,0.32960826431953955,351.161128,82264768792424.02,77058447126031.83
6,629.6826466650882,629.7223479527706,537.5444427753441,0.3323268665554524,537.457911,246785535588965.12,180323383066727.06
15,379.7424543772949,379.80828276446516,359.18248010457285,0.3258023547752109,358.869274,88786851828046.8,79511611990589.52
15,479.88851050195694,479.9406031081209,448.26281893299404,0.5097909793609983,448.078308,220084597160195.78,192249993345621.9
6,309.36120043903435,309.44200157231467,271.15733733059557,0.2092253006097985,270.97694,38125865062694.64,29358179097807.426
7,426.4707721240744,426.5293887601465,388.1209517368453,0.30664286724904494,360.761829,105236026348097.94,87306925898893.1
7,362.39053622512694,362.45951600907796,332.334841060819,0.3675193615146847,332.295643,91189731499691.47,76808894641008.22
14,527.9565941196148,528.0039443738879,503.91076340246696,0.49236765735698207,503.629916,256952895511440.4,234256885106183.0
12,535.6851361174953,535.7318032908065,486.8318015702551,0.4665540253280379,486.514672,250712465408836.25,207389671261473.06
13,606.1218225361486,606.1630669667546,568.9105395628523,0.5385836461698986,568.859129,369337886202916.44,325732448622111.1
6,432.3707699665503,432.42858684581387,364.2269713841212,0.5870594492408678,363.814106,205848853297970.16,146517866558846.25
21,438.3351010931846,438.3921313736965,419.7867205857576,0.31332323272133794,409.70349,113517357270453.17,104193800274410.39
5,231.5189631150997,231.62692046023253,192.39530677300863,0.3033973237170304,192.19142,31020458350224.64,21490869659261.426
15,381.2279528569896,381.2935247804912,376.5271817517401,0.2259455614212431,364.366086,62253359430666.12,60740827715870.73
18,502.37533451458347,502.42509563977757,503.79639218871364,0.4465350671301925,503.390045,211335628672632.34,212523204905036.5
7,857.575449072059,857.6046005305379,743.8283514370884,0.43515995064607393,743.250056,594996245383290.2,448660546558307.75
8,669.4315300495373,669.4688741266949,603.2143031087013,0.382476816992853,602.625515,320331560760571.56,260535438283998.03
17,339.6550606301003,339.7286567418726,338.47163172587966,0.28196761485717414,338.123861,61673832072563.734,61248569556037.79
7,337.6558717400565,337.72990350358003,301.1644910714026,0.2766678924721091,301.002466,59820547083109.7,47684951896279.75
12,643.3191552600143,643.3580150464113,585.0342726668274,0.4724186722452172,584.433076,364985120002022.9,302328990047870.3
6,376.92193239111054,376.9882532884134,345.01096859232774,0.24622927484429585,316.151205,66281218309346.97,55619711530400.06
5,514.7017205521205,514.7502900818154,476.1864272325685,0.38274610422399075,476.238575,190313742435660.16,163121902272842.2
6,517.1659887024017,517.2143268225782,454.90086559765496,0.28779033430104495,455.200992,144825653133514.16,112307501627824.05
6,509.9896080414008,510.03862629238347,443.95225498110284,0.2724237659259616,443.505011,133412172122690.86,101348538254043.62
6,292.0631256788673,292.14871107247734,244.330466575326,0.2251010499853077,244.135599,36573303654006.445,25675144658717.023
16,395.42473834726394,395.4879564500064,370.3482985482692,0.4732819580764319,370.117866,139286272033636.42,122322363366598.3
6,525.17271059563,525.2203118257721,450.391137616338,0.31502507469866653,450.118778,163302412959162.4,120434470907668.27
20,426.6786379857379,426.737226069351,406.47088892280703,0.23393542294091843,406.018459,80555102944838.02,73168097447704.56
7,208.51160450567548,208.631467457647,188.16501653370895,0.31787608828616293,188.111351,26399341825551.957,21536784048115.156
7,219.73696055412307,219.85070350936846,200.73857388476557,0.15652234391674602,200.621863,14510970312307.115,12128788448583.172
6,484.19964710249974,484.25127594481904,405.2582619577728,0.3853766388724043,404.971691,169756686902634.9,119292297012286.02
